referenceTime,value
2024-04-01T00:00:00.000Z,3.5
2024-04-02T00:00:00.000Z,5.1
2024-04-03T00:00:00.000Z,4.8
2024-04-03T00:00:00.000Z,4.8
2024-04-04T00:00:00.000Z,4.6
2024-04-05T00:00:00.000Z,3.8
2024-04-05T00:00:00.000Z,1.7
2024-04-07T00:00:00.000Z,3.5
2024-04-08T00:00:00.000Z,3.2
2024-04-08T00:00:00.000Z,3.2
2024-04-09T00:00:00.000Z,2.6
2024-04-09T00:00:00.000Z,2.4
2024-04-10T00:00:00.000Z,4.8
2024-04-11T00:00:00.000Z,3.5
2024-04-12T00:00:00.000Z,1.9
2024-04-13T00:00:00.000Z,3.1
2024-04-14T00:00:00.000Z,4.3
2024-04-15T00:00:00.000Z,2.2
2024-04-16T00:00:00.000Z,3.3
2024-04-17T00:00:00.000Z,3.4
2024-04-18T00:00:00.000Z,2.8
2024-04-19T00:00:00.000Z,2.3
2024-04-20T00:00:00.000Z,3.5
2024-04-21T00:00:00.000Z,4.1
2024-04-22T00:00:00.000Z,1.9
2024-04-23T00:00:00.000Z,2.8
2024-04-24T00:00:00.000Z,2.9
2024-04-25T00:00:00.000Z,2.2
2024-04-26T00:00:00.000Z,2.6
2024-04-27T00:00:00.000Z,1.8
2024-04-28T00:00:00.000Z,4.6
2024-04-29T00:00:00.000Z,4.1
2024-04-30T00:00:00.000Z,2.0
2024-05-01T00:00:00.000Z,3.6
2024-05-02T00:00:00.000Z,3.6
2024-05-03T00:00:00.000Z,2.5
2024-05-04T00:00:00.000Z,1.9
2024-05-05T00:00:00.000Z,1.5
2024-05-06T00:00:00.000Z,4.0
2024-05-07T00:00:00.000Z,2.2
2024-05-08T00:00:00.000Z,1.9
2024-05-09T00:00:00.000Z,3.0
2024-05-10T00:00:00.000Z,2.9
2024-05-11T00:00:00.000Z,2.0
2024-05-12T00:00:00.000Z,2.0
2024-05-13T00:00:00.000Z,1.9
2024-05-14T00:00:00.000Z,2.2
2024-05-15T00:00:00.000Z,2.3
2024-05-16T00:00:00.000Z,2.5
2024-05-17T00:00:00.000Z,2.3
2024-05-18T00:00:00.000Z,2.1
2024-05-19T00:00:00.000Z,3.0
2024-05-20T00:00:00.000Z,3.5
2024-05-21T00:00:00.000Z,2.5
2024-05-22T00:00:00.000Z,3.4
2024-05-23T00:00:00.000Z,3.8
2024-05-24T00:00:00.000Z,2.5
2024-05-25T00:00:00.000Z,1.6
2024-05-26T00:00:00.000Z,3.4
2024-05-27T00:00:00.000Z,2.4
2024-05-28T00:00:00.000Z,2.2
2024-05-29T00:00:00.000Z,3.1
2024-05-30T00:00:00.000Z,2.7
2024-05-31T00:00:00.000Z,1.9
