referenceTime,value
2024-04-01T00:00:00.000Z,1.6
2024-04-02T00:00:00.000Z,1.7
2024-04-03T00:00:00.000Z,2.6
2024-04-04T00:00:00.000Z,1.9
2024-04-05T00:00:00.000Z,1.5
2024-04-06T00:00:00.000Z,4.6
2024-04-07T00:00:00.000Z,6.1
2024-04-08T00:00:00.000Z,6.7
2024-04-09T00:00:00.000Z,3.1
2024-04-10T00:00:00.000Z,4.2
2024-04-11T00:00:00.000Z,5.4
2024-04-12T00:00:00.000Z,5.3
2024-04-13T00:00:00.000Z,4.8
2024-04-14T00:00:00.000Z,4.1
2024-04-15T00:00:00.000Z,4.5
2024-04-16T00:00:00.000Z,1.9
2024-04-17T00:00:00.000Z,2.4
2024-04-18T00:00:00.000Z,4.8
2024-04-19T00:00:00.000Z,3.8
2024-04-20T00:00:00.000Z,6.4
2024-04-21T00:00:00.000Z,1.9
2024-04-22T00:00:00.000Z,2.3
2024-04-23T00:00:00.000Z,6.1
2024-04-24T00:00:00.000Z,3.8
2024-04-25T00:00:00.000Z,1.6
2024-04-26T00:00:00.000Z,2.0
2024-04-27T00:00:00.000Z,1.6
2024-04-28T00:00:00.000Z,3.3
2024-04-29T00:00:00.000Z,7.3
2024-04-30T00:00:00.000Z,6.3
